GAIA_Source_ID,RA_deg,DEC_deg,Jmag,PMRA_masyr,PMDEC_masyr,Epoch_year
3017250607463391360,83.711944,-5.658134,12.762,1.481,-0.345,2015.5
3017250981122642560,83.74275,-5.640504,13.793,1.609,0.126,2015.5
3017251054138574080,83.741757,-5.633006,14.699,,,2015.5
3017251054139985792,83.745975,-5.630777,13.959,2.449,-1.009,2015.5
3017251054139986560,83.735006,-5.6348,12.756,1.53,0.799,2015.5
3017251088499723776,83.753436,-5.635566,11.9,2.074,-0.28,2015.5
3017252664749740160,83.771139,-5.612183,12.729,1.625,-0.094,2015.5
3017262354195919872,83.692897,-5.652181,10.878,2.903,-3.374,2015.5
3017262461573127040,83.69205,-5.625347,13.649,0.088,0.341,2015.5
3017262525997209856,83.66297,-5.644254,15.172,-0.472,-2.392,2015.5
3017262530289655424,83.653022,-5.642562,14.529,-1.544,-2.506,2015.5
3017262732153080704,83.673859,-5.613551,13.897,2.235,-0.547,2015.5
3017262766512812288,83.716456,-5.623391,16.12,-1.291,1.439,2015.5
3017262839530248192,83.70129,-5.623017,11.686,1.166,0.884,2015.5
3017262938311602944,83.746239,-5.605971,13.918,3.227,-0.862,2015.5
3017262942609459200,83.749514,-5.610991,11.114,1.678,-3.136,2015.5
3017263110110294912,83.687284,-5.605196,14.664,6.079,-9.989,2015.5
3017263148767891456,83.699636,-5.595528,13.075,-0.224,-1.54,2015.5
3017263178829773568,83.709237,-5.594175,14.582,0.661,1.203,2015.5
3017263354926327808,83.648328,-5.623357,14.076,0.331,0.176,2015.5
3017263384988198784,83.615302,-5.622035,13.323,1.582,-1.488,2015.5
3017263458005541632,83.649233,-5.612774,12.964,3.926,-3.907,2015.5
3017263492362315264,83.659116,-5.597113,13.739,1.024,0.407,2015.5
3017263492365279616,83.652268,-5.604762,11.402,0.494,-0.089,2015.5
3017263561084755584,83.648672,-5.597826,13.35,1.321,0.488,2015.5
3017263595444498048,83.60644,-5.61731,13.542,0.992,-0.165,2015.5
3017263698523711872,83.607448,-5.596277,13.873,0.889,0.383,2015.5
3017263767243185152,83.641493,-5.580925,11.856,2.022,-1.144,2015.5
3017263767243449600,83.632642,-5.588886,12.604,1.313,1.069,2015.5
3017263904679166464,83.682687,-5.593529,14.403,1.361,-1.042,2015.5
3017263939041875712,83.656109,-5.581098,11.807,1.107,-0.21,2015.5
3017264106545188608,83.696109,-5.55024,15.626,,,2015.5
3017264140902280064,83.646673,-5.575632,12.763,0.807,-0.874,2015.5
3017264179558632320,83.662984,-5.567325,13.7,0.048,-0.029,2015.5
3017264312701150336,83.675812,-5.550998,14.094,1.425,1.041,2015.5
3017264626236630656,83.774036,-5.565511,11.974,1.086,0.069,2015.5
3017264626236631936,83.772232,-5.574595,12.029,1.441,-0.185,2015.5
3017264660596368000,83.776917,-5.55972,11.01,,,2015.5
3017264763675591168,83.720203,-5.563424,13.41,1.402,0.752,2015.5
3017264798035326336,83.738109,-5.558197,12.811,0.764,0.564,2015.5
3017264832395061632,83.756732,-5.560577,13.075,2.69,-0.517,2015.5
3017264896816704000,83.743885,-5.547186,13.3,1.21,0.84,2015.5
3017264931176444160,83.76687,-5.538578,15.533,-1.164,2.26,2015.5
3017265244711916672,83.783428,-5.545654,12.038,0.628,-0.324,2015.5
3017265515291765760,83.717741,-5.552341,8.457,16.97,4.392,2015.5
3017265588309311360,83.701186,-5.543091,12.85,0.603,-1.329,2015.5
3017265760107995648,83.733251,-5.520288,12.0,2.0,0.303,2015.5
3017265760107995904,83.735344,-5.526717,10.324,1.074,-1.557,2015.5
3017265897545538688,83.701898,-5.518668,13.849,0.542,-0.656,2015.5
3017265961968363904,83.730403,-5.506137,8.851,0.369,0.001,2015.5
